Feature Name,Feature Value,Contribution,Average/Mode
Call  Failure,3.0,-0.32362876358893067,5.666666666666667
Complains,0.0,-0.3542611547995063,0.0
Subscription  Length,37.0,-0.06637162349174822,35.0
Charge  Amount,0.0,0.16109317257355454,1.0
Seconds of Use,7508.0,-0.15512649302986142,6058.666666666667
Frequency of use,127.0,-0.46424591243547003,96.5
Frequency of SMS,384.0,-1.124979251423392,195.0
Distinct Called Numbers,43.0,-0.5151151578073311,30.333333333333332
Age Group,2.0,0.05813855240690558,2.5
Tariff Plan,1.0,0.01380347664530653,1.0
Status,,0.014730994267024403,1.0
Age,25.0,0.02865654777031027,26.666666666666668
Customer Value,2071.575,-1.1600482689135116,1108.3833333333334
