,Feature Name,Feature Value,Contribution,Average/Mode
18,Number of Javascript keywords,0.0,0.09208373038044555,0.08
1,Size of metadata,262.0,0.08916817785893727,325.05999755859375
0,Total size,91.0,0.0712780957893574,326.9700012207031
7,Number of images,1.0,0.06349599605840922,1.75
15,Number of keywords with startxref,2.0,0.05873821332828811,2.05
17,Number of JS keywords,0.0,0.04892305894096353,0.04
9,Number of objects,33.0,0.03587575794323129,102.74747474747475
10,,33.0,0.03006984505978835,101.71
11,Number of streams (sequences of binary data),21.0,0.02947647198731829,36.15999984741211
12,Number of keywords that denote end of streams,21.0,0.0231881391017032,36.16
13,Number of Xref tables,2.0,0.017561352775292107,1.39
3,Number of entries in Xref tables,21.0,0.015213056045649865,246.57000732421875
14,Number of trailers,2.0,0.010691746077936841,1.3899999856948853
8,Contains text,0.0,-0.010554364830913982,0.66
21,Number of Acroform tags,1.0,-0.008452099692149204,0.59
25,Number of XFA keywords,0.0,0.00767888898619276,-0.03
26,Number of unique colors used,0.0,0.006313888801378198,0.07000000029802322
20,Number of OpenAction keywords,0.0,0.004819130620217038,-0.01
6,Number of embedded files,0.0,0.0023757143326292862,0.0
28,Header is standard,True,0.0021728968549723504,1.0
4,Number of characters in the title,0.0,0.001317463950081219,14.5
24,Number of Launch keywords,0.0,0.000969484115994419,-0.03
2,Number of pages,1.0,0.0007153175363600894,7.03000020980835
16,Number of streams that contain other objects,0.0,-0.0004623016861933138,4.210000038146973
5,Encryption status,0.0,0.00030031746991880935,0.009999999776482582
22,Presence of JBIG2Decode filter,0.0,0.00029666667949641124,0.13
19,Number of AA keywords,0.0,0.0002678571701835608,0.02
23,Number of RichMedia keywords,0.0,7.749999918814865e-05,-0.03
27,Header contains error,False,0.0,0.0
