,Dataset,Prompt,$L$,$B$,Accuracy,Completeness,Fluency,Conciseness,Total score
0,House 1,Prompt 1,0,0,4.0,4.0,3.2,2.196,13.396
1,House 1,Prompt 2,0,0,4.0,4.0,3.0,2.275,13.275
2,House 1,Prompt 3,0,0,4.0,4.0,3.2,2.81,14.01
3,House 2,Prompt 1,0,0,4.0,4.0,2.6,0.48,11.08
4,House 2,Prompt 2,0,0,4.0,4.0,2.2,0.96,11.16
5,House 2,Prompt 3,0,0,4.0,4.0,2.2,0.942,11.142
6,House 3,Prompt 1,0,0,4.0,4.0,1.8,0.0,9.8
7,House 3,Prompt 2,0,0,4.0,4.0,2.2,0.0,10.2
8,House 3,Prompt 3,0,0,4.0,4.0,1.8,0.0,9.8
9,Mush 1,Prompt 1,0,0,4.0,4.0,1.2,1.697,10.897
10,Mush 1,Prompt 2,0,0,4.0,4.0,1.4,1.417,10.817
11,Mush 1,Prompt 3,0,0,4.0,4.0,0.8,1.778,10.578
12,Mush 2,Prompt 1,0,0,4.0,4.0,1.6,0.571,10.171
13,Mush 2,Prompt 2,0,0,4.0,4.0,1.6,0.527,10.127
14,Mush 2,Prompt 3,0,0,4.0,4.0,1.4,0.737,10.137
15,PDF 1,Prompt 1,0,0,4.0,4.0,3.0,0.065,11.065
16,PDF 1,Prompt 2,0,0,4.0,4.0,3.2,0.0,11.2
17,PDF 1,Prompt 3,0,0,4.0,4.0,2.8,0.267,11.067
18,PDF 2,Prompt 1,0,0,4.0,4.0,2.6,0.0,10.6
19,PDF 2,Prompt 2,0,0,4.0,4.0,2.8,0.0,10.8
20,PDF 2,Prompt 3,0,0,4.0,4.0,2.0,0.0,10.0
21,Student 1,Prompt 1,0,0,4.0,4.0,2.8,2.289,13.089
22,Student 1,Prompt 2,0,0,3.2,4.0,2.6,2.119,11.919
23,Student 1,Prompt 3,0,0,4.0,4.0,2.6,2.527,13.127
24,Student 2,Prompt 1,0,0,4.0,4.0,3.4,0.356,11.756
25,Student 2,Prompt 2,0,0,4.0,4.0,3.2,0.55,11.75
26,Student 2,Prompt 3,0,0,4.0,4.0,3.2,0.439,11.639
27,House 1,Prompt 1,1,0,4.0,4.0,4.0,3.775,15.775
28,House 1,Prompt 1,3,0,4.0,4.0,4.0,3.671,15.671
29,House 1,Prompt 1,5,0,4.0,4.0,4.0,3.723,15.723
30,House 2,Prompt 1,1,0,4.0,4.0,3.8,3.627,15.427
31,House 2,Prompt 1,3,0,4.0,3.6,3.8,3.609,15.009
32,House 2,Prompt 1,5,0,4.0,4.0,3.8,3.68,15.48
33,House 3,Prompt 1,1,0,4.0,3.6,4.0,3.897,15.497
34,House 3,Prompt 1,3,0,4.0,3.6,4.0,3.574,15.174
35,House 3,Prompt 1,5,0,4.0,3.6,4.0,3.892,15.492
36,Mush 1,Prompt 1,1,0,3.2,3.6,3.0,3.93,13.73
37,Mush 1,Prompt 1,3,0,3.2,3.6,3.0,3.93,13.73
38,Mush 1,Prompt 1,5,0,3.2,2.8,2.6,2.807,11.407
39,Mush 2,Prompt 1,1,0,2.4,4.0,3.0,3.695,13.095
40,Mush 2,Prompt 1,3,0,0.8,3.2,3.6,3.911,11.511
41,Mush 2,Prompt 1,5,0,0.8,3.2,3.4,3.911,11.311
42,PDF 1,Prompt 1,1,0,4.0,2.4,3.8,3.581,13.781
43,PDF 1,Prompt 1,3,0,4.0,2.4,3.8,3.581,13.781
44,PDF 1,Prompt 1,5,0,4.0,2.4,3.8,3.581,13.781
45,PDF 2,Prompt 1,1,0,0.0,2.8,4.0,3.685,10.485
46,PDF 2,Prompt 1,3,0,0.0,2.8,4.0,3.644,10.444
47,PDF 2,Prompt 1,5,0,0.0,2.8,4.0,3.725,10.525
48,Student 1,Prompt 1,1,0,4.0,3.6,3.0,3.932,14.532
49,Student 1,Prompt 1,3,0,4.0,3.6,3.0,4.0,14.6
50,Student 1,Prompt 1,5,0,4.0,3.2,3.2,3.973,14.373
51,Student 2,Prompt 1,1,0,4.0,3.6,4.0,3.617,15.217
52,Student 2,Prompt 1,3,0,4.0,4.0,4.0,3.45,15.45
53,Student 2,Prompt 1,5,0,4.0,3.6,4.0,3.728,15.328
54,House 1,Prompt 1,1,1,4.0,4.0,3.2,3.318,14.518
55,House 1,Prompt 1,1,3,4.0,4.0,3.4,3.447,14.847
56,House 1,Prompt 1,3,1,4.0,4.0,4.0,3.671,15.671
57,House 1,Prompt 1,3,3,3.2,4.0,3.8,3.706,14.706
58,House 2,Prompt 1,1,1,4.0,4.0,3.8,3.552,15.352
59,House 2,Prompt 1,1,3,4.0,4.0,3.8,3.552,15.352
