Feature Name,Feature Value,Contribution,Average/Mode
 Identifies the type of dwelling involved in the sale.,70,-1155.734374001572,47.0
 Linear feet of street connected to property,60.0,13.303781155149473,71.44444444444444
 Lot size in square feet,9550,-1814.397155797184,10374.8
 Rates the overall material and finish of the house,7,2855.9370035707148,6.7
 Rates the overall condition of the house,5,-2670.4623878497214,5.5
 Original construction date,1915,-17966.774652927863,1976.1
 Remodel date (same as construction date if no remodeling or additions),1970,-1841.5276294529542,1983.9
 Masonry veneer area in square feet,0.0,-2384.7191102412953,113.4
 Type 1 finished square feet,216,-4457.341537873612,683.1
 Type 2 finished square feet,0,-492.81895896847595,32.2
 Unfinished square feet of basement area,540,25.17327413167369,358.3
 Total square feet of basement area,756,-8362.218673676573,1073.6
 First Floor square feet,961,-3954.4113876067377,1101.9
 Second floor square feet,756,10129.95549133351,583.0
 Low quality finished square feet (all floors),0,23.593205807691724,0.0
 Above grade (ground) living area square feet,1717,3452.504752378472,1684.9
 Basement full bathrooms,1,862.9983446631171,0.8
 Basement half bathrooms,0,182.7069172638496,0.1
 Full bathrooms above grade,1,-1725.3486134229336,1.7
 Half baths above grade,0,-751.509157285847,0.6
 Bedrooms above grade (does NOT include basement bedrooms),3,-323.0057605202017,2.8
 Kitchens above grade,1,264.9751492072544,1.1
 Total rooms above grade (does not include bathrooms),7,520.1713237589827,6.9
 Number of fireplaces,1,774.3799790032368,0.9
 Year garage was built,1998.0,-464.08647308572023,1984.4
 Size of garage in car capacity,3,5868.904490163438,2.1
 Size of garage in square feet,642,1057.260026855768,543.8
 Wood deck area in square feet,0,-1891.8301347437703,184.6
 Open porch area in square feet,35,-368.61071464634546,58.1
 Enclosed porch area in square feet,272,3497.9850600121226,70.5
 Three season porch area in square feet,0,0.0,32.0
 Screen porch area in square feet,0,-910.6482644469232,0.0
 Pool area in square feet,0,0.0,0.0
 $Value of miscellaneous feature,0,-28.230438622589592,105.0
 Month Sold (MM),2,1274.6229518985213,6.9
 Year Sold (YYYY),2006,825.6442213675056,2007.8
 Type of alley access to property,,71.71673395396012,
 Type of dwelling,1Fam,731.6166191673829,1Fam
 Evaluates the general condition of the basement,Gd,-2649.063867460736,TA
 Refers to walkout or garden level walls,No,-3671.1232688158607,No
 Rating of basement finished area,ALQ,-2415.325407953997,GLQ
 Rating of basement finished area (if multiple types),Unf,232.51227133810937,Unf
 Evaluates the height of the basement,TA,115.56442495521333,Gd
 Central air conditioning,Y,49.32684068078288,Y
 Proximity to various conditions,Norm,801.9875085137489,Norm
 Proximity to various conditions (if more than one is present),Norm,192.06878836025004,Norm
 Electrical system,SBrkr,-83.00691850861952,SBrkr
 Evaluates the present condition of the material on the exterior,TA,140.66731210452542,TA
 Evaluates the quality of the material on the exterior,TA,-1868.010334238867,Gd
 Exterior covering on house,Wd Sdng,-5626.954077018259,VinylSd
 Exterior covering on house (if more than one material),Wd Shng,-4006.6530596255393,VinylSd
 Fence quality,,124.10897790018987,MnPrv
 Fireplace quality,Gd,-1435.5104933928546,TA
 Type of foundation,BrkTil,-2539.191020270105,PConc
 Home functionality (Assume typical unless deductions are warranted),Typ,1722.604429166849,Typ
 Garage condition,TA,285.649658219117,TA
 Interior finish of the garage,Unf,1155.6018220819512,RFn
 Garage quality,TA,-254.53112775317254,TA
 Garage location,Detchd,1939.5121766945383,Attchd
 Type of heating,GasA,0.0,GasA
 Heating quality and condition,Gd,-1302.1184254716418,Ex
 Style of dwelling,2Story,-4671.418081713822,2Story
 Kitchen quality,Gd,-1764.5901742450355,Gd
 Flatness of the property,Lvl,424.3133355512327,Lvl
 Slope of property,Gtl,-225.7224825380697,Gtl
 Lot configuration,Corner,-49.77630323324456,Inside
 General shape of property,IR1,-749.6608588810226,IR1
 Identifies the general zoning classification of the sale.,RL,440.9961923472579,RL
 Masonry veneer type,,537.4663730026551,BrkFace
 Miscellaneous feature not covered in other categories,,-29.060190776766206,Shed
 Physical locations within Ames city limits,Crawfor,17703.261792613397,CollgCr
 Paved driveway,Y,219.2883820299091,Y
 Pool quality,,0.0,
 Roof material,CompShg,-241.17692677970774,CompShg
 Type of roof,Gable,-273.273849896367,Gable
 Condition of sale,Abnorml,-6786.655896749632,Normal
 Type of sale,WD,-2609.610770958109,WD
 Type of road access to property,Pave,0.0,Pave
 Type of utilities available,AllPub,0.0,AllPub
