,Feature Name,Feature Value,Contribution,Average/Mode
1,Size of metadata in KB,262.0,0.09665503217752303,325.05999755859375
0,Total size in KB,74.0,0.09204467578346338,326.9700012207031
17,Number of Javascript keywords,0.0,0.08984281390827163,0.08
7,Number of images,1.0,0.06507328651317948,1.75
10,Number of streams (sequences of binary data),30.0,0.05933011129312945,36.15999984741211
9,Number of objects,42.0,0.04761420626242398,102.74747474747475
16,Number of JS keywords,0.0,0.042687460452643794,0.04
11,Number of keywords that denote end of streams,30.0,0.03949392164245182,36.16
14,Number of keywords with startxref,3.0,0.03827463473937314,2.05
12,Number of Xref tables,0.0,-0.012497983182483949,1.39
15,Number of streams that contain other objects,6.0,0.012058524805970592,4.210000038146973
3,Number of entries in Xref tables,21.0,0.010618921682098516,246.57000732421875
8,Contains text,0.0,-0.009342817491487949,0.66
24,Number of XFA keywords,0.0,0.008725591751244792,-0.03
20,Number of Acroform tags,2.0,-0.008627619060098369,0.59
19,Number of OpenAction keywords,0.0,0.007481785795525866,-0.01
25,Number of unique colors used,0.0,0.0041940079021151174,0.07000000029802322
13,Number of trailers,0.0,-0.003493134830114286,1.3899999856948853
6,Number of embedded files,0.0,0.0019533333615981974,0.0
21,Presence of JBIG2Decode filter,0.0,0.0018311904951406176,0.13
27,Header is standard,True,0.0017235714502021437,1.0
2,Number of pages,1.0,0.0009843182877011713,7.03000020980835
18,Number of AA keywords,0.0,0.0007913095217372757,0.02
5,Encryption status,0.0,0.000450079371657921,0.009999999776482582
4,Number of characters in the title,0.0,0.0004323015011868847,14.5
23,Number of Launch keywords,0.0,0.00024047620012424887,-0.03
22,Number of RichMedia keywords,0.0,0.00016000001109205185,-0.03
26,Header contains error,False,0.0,0.0
