Prompt,Explanation,Response,Accuracy,Fluency,Completeness,Context-Awareness
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary.","(Above grade (ground) living area square feet, 1256, -12527.462023188567, 1684.9), (Rates the overall material and finish of the house, 5, -10743.763013432692, 6.7), (Second floor square feet, 0, -10142.290455798697, 583.0)",The model predicted a lower price for a house with a living area of 1256 sqft compared to the average size of 1684.9 sqft. A high rating of 5 for the overall material and finish of the house led to a lower price prediction than the average rating of 6.7. Not having a second floor in the house resulted in a lower predicted price compared to the average second floor area of 583 sqft.,1,0,2,1
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary.","(Second floor square feet, 854, 12757.839225221018, 583.0), (Original construction date, 2003, 9115.722254534434, 1976.1), (Total square feet of basement area, 856, -6157.864205856202, 1073.6)","The model predicts a higher value because the second floor square feet is 854, which is 583 more than the average. The original construction date being 2003 contributes 9116 to the prediction, much higher than the average construction date of 1976. However, the total square feet of basement area being 856 decreases the prediction by 6158 as it is lower than the average basement area of 1074.",0,0,2,1
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary.","(Refers to walkout or garden level walls, Gd, 17607.43314710544, No), (Rates the overall condition of the house, 8, 13038.139893619234, 5.5), (Above grade (ground) living area square feet, 1262, -12319.479809189865, 1684.9)","The model predicts that the house with walkout or garden level walls is less likely to have a high price. A higher overall condition rating contributes positively to the predicted price. However, a larger above-grade living area square footage has a negative impact on the predicted price.",0,0,1,0
"You are helping users who do not have experience working with ML understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Make your answers sound as natural as possible, as though said in conversation.","(Above grade (ground) living area square feet, 1256, -12527.462023188567, 1684.9), (Rates the overall material and finish of the house, 5, -10743.763013432692, 6.7), (Second floor square feet, 0, -10142.290455798697, 583.0)","The model predicted a lower house price because the living area square footage was 1256, which is below the average of 1684.9 square feet. Similarly, a high rating of 5 for the overall material and finish of the house led to a decrease in the predicted price as it's below the average rating of 6.7. Additionally, having no second floor square footage, compared to the average of 583 square feet, also contributed to the lower predicted price.",1,1,2,1
"You are helping users who do not have experience working with ML understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Make your answers sound as natural as possible, as though said in conversation.","(Second floor square feet, 854, 12757.839225221018, 583.0), (Original construction date, 2003, 9115.722254534434, 1976.1), (Total square feet of basement area, 856, -6157.864205856202, 1073.6)","The model thinks that having 854 square feet on the second floor contributes positively to the prediction by 583 units, which is higher than the average second floor area. A construction date of 2003 contributes positively to the prediction by 1976 units compared to the average construction date. However, having 856 square feet of basement area contributes negatively to the prediction by 1073 units, lower than the average basement area.",0,0,2,1
"You are helping users who do not have experience working with ML understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Make your answers sound as natural as possible, as though said in conversation.","(Refers to walkout or garden level walls, Gd, 17607.43314710544, No), (Rates the overall condition of the house, 8, 13038.139893619234, 5.5), (Above grade (ground) living area square feet, 1262, -12319.479809189865, 1684.9)","The presence of walkout or garden level walls has a strong positive impact on the prediction, increasing it by $17,607. 

A higher rating for the overall condition of the house also has a positive effect, boosting the prediction by $13,038 compared to an average rating of 5.5.

Having a larger above grade living area square footage has a negative impact on the prediction, decreasing it by $12,319 compared to the average size of 1684.9 square feet.",0,1,1,0
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Do not explicitly mention any feature or contribution values in your response.","(Above grade (ground) living area square feet, 1256, -12527.462023188567, 1684.9), (Rates the overall material and finish of the house, 5, -10743.763013432692, 6.7), (Second floor square feet, 0, -10142.290455798697, 583.0)",The model indicates that a larger living area tends to decrease the predicted value. A higher rating for the overall material and finish of the house is associated with lower predicted values. Having a second floor square footage of zero also decreases the prediction.,0,1,1,0
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Do not explicitly mention any feature or contribution values in your response.","(Second floor square feet, 854, 12757.839225221018, 583.0), (Original construction date, 2003, 9115.722254534434, 1976.1), (Total square feet of basement area, 856, -6157.864205856202, 1073.6)","The model predicted a higher value mainly because of the large second floor square footage. The original construction date also had a positive impact on the prediction. However, the total square footage of the basement area had a negative influence, reducing the predicted value.",2,1,1,0
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Do not explicitly mention any feature or contribution values in your response.","(Refers to walkout or garden level walls, Gd, 17607.43314710544, No), (Rates the overall condition of the house, 8, 13038.139893619234, 5.5), (Above grade (ground) living area square feet, 1262, -12319.479809189865, 1684.9)","The model indicates that the presence of walkout or garden level walls has a strong positive impact on the prediction. A higher rating for the overall condition of the house also contributes positively. However, larger above grade living area square footage has a negative impact on the prediction.",0,1,1,0
"You are helping users understand an ML model's predictions. I will give you feature contribution explanations, generated using SHAP, in (feature, feature_value, contribution, average_feature_value) format. Convert the explanations in simple narratives. Do not use more tokens than necessary. Be sure to explicitly mention all feature and contribution values in your response.","(Above grade (ground) living area square feet, 1256, -12527.462023188567, 1684.9), (Rates the overall material and finish of the house, 5, -10743.763013432692, 6.7), (Second floor square feet, 0, -10142.290455798697, 583.0)","The model predicts a lower house price mainly because of the smaller above grade living area square footage of 1256 sqft, contributing -12527.46 to the prediction. Additionally, the high rating of 5 for the overall material and finish of the house has a negative impact of -10743.76 on the price prediction. The lack of a second floor in the house, with a square footage of 0, also contributes -10142.29 to the lower predicted price.",1,1,2,0
