,Dataset,Prompt,$L$,$B$,Accuracy,Completeness,Fluency,Conciseness,Total score
0,House 1,Prompt 1,1,0,3.52,3.92,3.8,3.671,14.911
1,House 1,Prompt 1,3,0,3.2,3.92,3.84,3.697,14.657
2,House 1,Prompt 1,3,3,3.36,3.92,3.64,3.605,14.525
3,House 1,Prompt 1,5,0,3.52,4.0,3.72,3.681,14.921
4,House 2,Prompt 1,1,0,4.0,4.0,4.0,3.662,15.662
5,House 2,Prompt 1,3,0,4.0,4.0,4.0,3.733,15.733
6,House 2,Prompt 1,3,3,4.0,4.0,3.917,3.076,14.992
7,House 2,Prompt 1,5,0,4.0,4.0,4.0,3.644,15.644
8,House 3,Prompt 1,1,0,4.0,3.833,3.917,3.939,15.689
9,House 3,Prompt 1,3,0,4.0,3.833,3.917,3.897,15.647
10,House 3,Prompt 1,3,3,4.0,3.833,3.833,3.602,15.269
11,House 3,Prompt 1,5,0,4.0,4.0,3.917,3.963,15.879
12,Mush 1,Prompt 1,1,0,2.8,3.8,3.45,3.93,13.98
13,Mush 1,Prompt 1,3,0,3.4,3.6,3.5,3.741,14.241
14,Mush 1,Prompt 1,3,3,3.0,3.8,3.45,4.0,14.25
15,Mush 1,Prompt 1,5,0,2.6,3.8,3.55,3.93,13.88
16,Mush 2,Prompt 1,1,0,2.0,2.7,3.75,3.759,12.209
17,Mush 2,Prompt 1,3,0,1.8,3.0,3.7,3.822,12.322
18,Mush 2,Prompt 1,3,3,3.8,3.8,2.0,3.848,13.448
19,Mush 2,Prompt 1,5,0,2.2,2.7,3.65,3.911,12.461
20,PDF 1,Prompt 1,1,0,3.4,2.5,3.9,3.581,13.381
21,PDF 1,Prompt 1,3,0,3.4,2.5,3.8,3.581,13.281
22,PDF 1,Prompt 1,3,3,3.2,2.8,3.85,3.708,13.558
23,PDF 1,Prompt 1,5,0,2.8,2.6,3.8,3.581,12.781
24,PDF 2,Prompt 1,1,0,0.8,2.4,3.65,3.644,10.494
25,PDF 2,Prompt 1,3,0,0.6,2.3,3.3,3.685,9.885
26,PDF 2,Prompt 1,3,3,0.4,2.2,3.45,3.564,9.614
27,PDF 2,Prompt 1,5,0,0.4,2.1,3.45,3.685,9.635
28,Student 1,Prompt 1,1,0,4.0,3.7,3.8,3.994,15.494
29,Student 1,Prompt 1,3,0,4.0,3.8,3.7,3.849,15.349
30,Student 1,Prompt 1,3,3,4.0,3.9,3.7,4.0,15.6
31,Student 1,Prompt 1,5,0,4.0,3.7,3.6,4.0,15.3
32,Student 2,Prompt 1,1,0,4.0,3.6,3.9,3.561,15.061
33,Student 2,Prompt 1,3,0,4.0,3.9,4.0,3.706,15.606
34,Student 2,Prompt 1,3,3,3.8,4.0,3.95,3.311,15.061
35,Student 2,Prompt 1,5,0,3.8,3.5,3.9,3.589,14.789
36,House 1,Prompt 1,0,1,3.04,4.0,2.6,2.288,11.928
37,House 1,Prompt 1,0,3,3.2,3.92,2.64,2.288,12.048
38,House 2,Prompt 1,0,1,4.0,4.0,2.417,0.444,10.861
39,House 2,Prompt 1,0,3,4.0,4.0,2.417,0.444,10.861
40,House 3,Prompt 1,0,1,4.0,4.0,2.833,0.0,10.833
41,House 3,Prompt 1,0,3,4.0,4.0,2.833,0.0,10.833
42,Mush 1,Prompt 1,0,1,4.0,4.0,1.85,0.959,10.809
43,Mush 1,Prompt 1,0,3,4.0,4.0,1.85,0.959,10.809
44,Mush 2,Prompt 1,0,1,3.8,3.9,2.25,0.14,10.09
45,Mush 2,Prompt 1,0,3,3.8,3.9,2.25,0.14,10.09
46,PDF 1,Prompt 1,0,1,3.6,3.8,2.45,0.267,10.117
47,PDF 1,Prompt 1,0,3,3.6,3.8,2.45,0.267,10.117
48,PDF 2,Prompt 1,0,1,3.6,3.8,1.8,0.0,9.2
49,PDF 2,Prompt 1,0,3,3.6,3.8,1.8,0.0,9.2
50,Student 1,Prompt 1,0,1,4.0,4.0,2.75,2.212,12.962
51,Student 1,Prompt 1,0,3,4.0,4.0,3.15,2.212,13.362
52,Student 2,Prompt 1,0,1,4.0,4.0,3.1,0.367,11.467
53,Student 2,Prompt 1,0,3,4.0,4.0,2.9,0.367,11.267
54,House 1,Prompt 1,0,0,3.2,4.0,2.08,2.196,11.476
55,House 1,Prompt 2,0,0,3.04,3.52,2.12,2.275,10.955
56,House 1,Prompt 3,0,0,3.2,4.0,2.16,2.81,12.17
57,House 2,Prompt 1,0,0,4.0,4.0,3.167,0.48,11.647
58,House 2,Prompt 2,0,0,3.667,4.0,3.0,0.96,11.627
59,House 2,Prompt 3,0,0,4.0,4.0,3.0,0.942,11.942
60,House 3,Prompt 1,0,0,4.0,4.0,2.0,0.0,10.0
61,House 3,Prompt 2,0,0,3.667,4.0,2.25,0.0,9.917
62,House 3,Prompt 3,0,0,4.0,4.0,2.25,0.0,10.25
63,Mush 1,Prompt 1,0,0,4.0,4.0,1.3,1.697,10.997
64,Mush 1,Prompt 2,0,0,4.0,4.0,1.75,1.417,11.167
65,Mush 1,Prompt 3,0,0,4.0,4.0,0.85,1.778,10.628
66,Mush 2,Prompt 1,0,0,4.0,4.0,1.85,0.571,10.421
67,Mush 2,Prompt 2,0,0,4.0,4.0,1.65,0.527,10.177
68,Mush 2,Prompt 3,0,0,4.0,4.0,1.3,0.737,10.037
69,PDF 1,Prompt 1,0,0,4.0,4.0,2.65,0.065,10.715
70,PDF 1,Prompt 2,0,0,4.0,3.5,2.35,0.0,9.85
71,PDF 1,Prompt 3,0,0,3.6,4.0,2.25,0.267,10.117
72,PDF 2,Prompt 1,0,0,4.0,4.0,1.65,0.0,9.65
73,PDF 2,Prompt 2,0,0,4.0,3.5,1.5,0.0,9.0
74,PDF 2,Prompt 3,0,0,3.6,4.0,1.45,0.0,9.05
75,Student 1,Prompt 1,0,0,4.0,4.0,2.75,2.289,13.039
76,Student 1,Prompt 2,0,0,3.6,4.0,2.9,2.119,12.619
77,Student 1,Prompt 3,0,0,4.0,4.0,2.5,2.527,13.027
78,Student 2,Prompt 1,0,0,4.0,4.0,2.95,0.356,11.306
79,Student 2,Prompt 2,0,0,3.8,4.0,3.0,0.55,11.35
80,Student 2,Prompt 3,0,0,4.0,4.0,3.0,0.439,11.439
